level9;disableCompressibilityTesting;compression;level;level5;encryption;level2;unlimitedWindowSize;level1;compressionLrzip;level3;level4;compressionBzip2;level6;level7;level8;compressionLzo;root;compressionZpaq;compressionGzip;Performance
0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;41590.0
0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;54820.0
0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;42230.0
1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;48000.0
1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;57250.0
1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;827290.0
0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;208900.0
0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;52650.0
0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;42130.0
0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;54530.0
0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;673290.0
0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;679680.0
0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;49450.0
0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;42170.0
0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;53870.0
0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;53530.0
0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;37470.0
0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;53750.0
0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;87690.0
0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;80360.0
0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;210450.0
0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;384660.0
0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;58470.0
0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;44970.0
0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;56570.0
1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;5759100.0
1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;198360.0
0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;106090.0
0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;128450.0
0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;93090.0
0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;146410.0
0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;187970.0
0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;59380.0
0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;45160.0
0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;52070.0
0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;56940.0
0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;47280.0
0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;56650.0
0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;59060.0
0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;46170.0
0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;57660.0
0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;2275110.0
0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2265330.0
0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;5765920.0
0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;340590.0
0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1062250.0
0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1179830.0
0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;50520.0
0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;50420.0
0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;49850.0
0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;53480.0
0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;53060.0
0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;257480.0
0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;263430.0
0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;248940.0
0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;208350.0
0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;213220.0
0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;236720.0
0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;50610.0
0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;674140.0
0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;283750.0
0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;223040.0
0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;45490.0
0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;57850.0
0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;41880.0
0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;57800.0
0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;2267650.0
0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;339780.0
0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;234870.0
0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;48050.0
1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;265980.0
1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;51500.0
1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;53990.0
1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;828640.0
1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;833620.0
1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;828500.0
0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;212880.0
0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;220490.0
0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;212530.0
0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;54290.0
0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;672520.0
0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;681080.0
0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;672970.0
0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;671740.0
0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;684690.0
0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;671500.0
0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;52900.0
0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;55520.0
0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;91570.0
0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;97960.0
0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;91630.0
0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;81720.0
0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;89260.0
0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;81420.0
0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;210810.0
0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;222350.0
0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;209160.0
0;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;383910.0
0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;395130.0
0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;383300.0
0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;57860.0
0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;2271620.0
0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;2273900.0
0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;2267790.0
1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;5754200.0
1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;5810950.0
1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;5578370.0
1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;198100.0
1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;205040.0
1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;193590.0
0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;109300.0
0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;114530.0
0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;107250.0
0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;127760.0
0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;139600.0
0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;126550.0
0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;92590.0
0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;103630.0
0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;77610.0
0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;88600.0
0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;77430.0
0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;145950.0
0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;156680.0
0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;145660.0
0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;187730.0
0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;198500.0
0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;186750.0
0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;56950.0
0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;58700.0
0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;57320.0
0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;2279890.0
0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;2282560.0
0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;2275100.0
0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;2263060.0
0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2282110.0
0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2264750.0
0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;5802460.0
0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;5565990.0
0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;340300.0
0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;347130.0
0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;339880.0
0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1061640.0
0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1070520.0
0;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1060630.0
0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1178930.0
0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1185460.0
0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1178530.0
0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;50740.0
0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;65730.0
0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;49440.0
0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;61790.0
0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;50200.0
0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;48640.0
0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;61210.0
0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;49160.0
0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;52920.0
0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;63620.0
0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;53450.0
0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;52700.0
0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;64550.0
0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;52880.0
0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;258170.0
0;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;263150.0
0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;257790.0
0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;263330.0
0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;271090.0
0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;262750.0
0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;249760.0
0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;260550.0
0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;248560.0
0;0;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;208080.0
0;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;208010.0
0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;212850.0
0;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;222830.0
0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;215150.0
0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;240110.0
0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;250030.0
0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;239080.0
0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;51040.0
0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;51360.0
0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;675720.0
0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;681250.0
0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;673650.0
0;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;284060.0
0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;295950.0
0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;283850.0
0;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;223100.0
0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;233560.0
0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;223090.0
0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;47370.0
0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;47910.0
0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;54750.0
0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;2271260.0
0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;2288260.0
0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;2271210.0
0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;339360.0
0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;350260.0
0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;338900.0
0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;232720.0
0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;243700.0
0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;232880.0
0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;60460.0
0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;46750.0
1;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;266710.0
1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;274670.0
1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;266990.0
1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;52010.0
1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;64620.0
1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;52040.0
1;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;832070.0
1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;828190.0
1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;833190.0
0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;221550.0
0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;211900.0
0;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;220780.0
0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;680540.0
0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;678540.0
0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;680310.0
0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;680310.0
0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;672390.0
0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;683560.0
0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;91400.0
0;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;102280.0
0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;92770.0
0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;80780.0
0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;90930.0
0;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;220350.0
0;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;210150.0
0;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;220370.0
0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;389840.0
0;1;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;383480.0
0;1;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;392630.0
0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;2290710.0
0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;2272850.0
0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;2272580.0
1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;5811280.0
1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;5574160.0
1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;5619060.0
1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;208740.0
1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;199420.0
1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;208540.0
0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;119050.0
0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;108370.0
0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;117480.0
0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;140250.0
0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;132130.0
0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;138260.0
0;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;106090.0
0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;94130.0
0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;106310.0
0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;89450.0
0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;77620.0
0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;89180.0
0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;158380.0
0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;145620.0
0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;155440.0
0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;199390.0
0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;189150.0
0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;199110.0
0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;2282210.0
0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;2272220.0
0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;2287710.0
0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;2275750.0
0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2269330.0
0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;0;5797710.0
0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;5622640.0
0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;5615690.0
0;0;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;351010.0
0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;339300.0
0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;349540.0
0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1070210.0
0;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1060950.0
0;1;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1067140.0
0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1186750.0
